place_id,day,hour
ChIJz15_eCLNvJURLdcnsgJfwWU,1,9
ChIJz15_eCLNvJURLdcnsgJfwWU,1,10
ChIJz15_eCLNvJURLdcnsgJfwWU,1,11
ChIJz15_eCLNvJURLdcnsgJfwWU,1,12
ChIJz15_eCLNvJURLdcnsgJfwWU,1,13
ChIJz15_eCLNvJURLdcnsgJfwWU,1,14
ChIJz15_eCLNvJURLdcnsgJfwWU,1,15
ChIJz15_eCLNvJURLdcnsgJfwWU,1,16
ChIJz15_eCLNvJURLdcnsgJfwWU,1,17
ChIJz15_eCLNvJURLdcnsgJfwWU,1,18
ChIJz15_eCLNvJURLdcnsgJfwWU,1,19
ChIJz15_eCLNvJURLdcnsgJfwWU,2,9
ChIJz15_eCLNvJURLdcnsgJfwWU,2,10
ChIJz15_eCLNvJURLdcnsgJfwWU,2,11
ChIJz15_eCLNvJURLdcnsgJfwWU,2,12
ChIJz15_eCLNvJURLdcnsgJfwWU,2,13
ChIJz15_eCLNvJURLdcnsgJfwWU,2,14
ChIJz15_eCLNvJURLdcnsgJfwWU,2,15
ChIJz15_eCLNvJURLdcnsgJfwWU,2,16
ChIJz15_eCLNvJURLdcnsgJfwWU,2,17
ChIJz15_eCLNvJURLdcnsgJfwWU,2,18
ChIJz15_eCLNvJURLdcnsgJfwWU,2,19
ChIJz15_eCLNvJURLdcnsgJfwWU,3,9
ChIJz15_eCLNvJURLdcnsgJfwWU,3,10
ChIJz15_eCLNvJURLdcnsgJfwWU,3,11
ChIJz15_eCLNvJURLdcnsgJfwWU,3,12
ChIJz15_eCLNvJURLdcnsgJfwWU,3,13
ChIJz15_eCLNvJURLdcnsgJfwWU,3,14
ChIJz15_eCLNvJURLdcnsgJfwWU,3,15
ChIJz15_eCLNvJURLdcnsgJfwWU,3,16
ChIJz15_eCLNvJURLdcnsgJfwWU,3,17
ChIJz15_eCLNvJURLdcnsgJfwWU,3,18
ChIJz15_eCLNvJURLdcnsgJfwWU,3,19
ChIJz15_eCLNvJURLdcnsgJfwWU,4,9
ChIJz15_eCLNvJURLdcnsgJfwWU,4,10
ChIJz15_eCLNvJURLdcnsgJfwWU,4,11
ChIJz15_eCLNvJURLdcnsgJfwWU,4,12
ChIJz15_eCLNvJURLdcnsgJfwWU,4,13
ChIJz15_eCLNvJURLdcnsgJfwWU,4,14
ChIJz15_eCLNvJURLdcnsgJfwWU,4,15
ChIJz15_eCLNvJURLdcnsgJfwWU,4,16
ChIJz15_eCLNvJURLdcnsgJfwWU,4,17
ChIJz15_eCLNvJURLdcnsgJfwWU,4,18
ChIJz15_eCLNvJURLdcnsgJfwWU,4,19
ChIJz15_eCLNvJURLdcnsgJfwWU,5,9
ChIJz15_eCLNvJURLdcnsgJfwWU,5,10
ChIJz15_eCLNvJURLdcnsgJfwWU,5,11
ChIJz15_eCLNvJURLdcnsgJfwWU,5,12
ChIJz15_eCLNvJURLdcnsgJfwWU,5,13
ChIJz15_eCLNvJURLdcnsgJfwWU,5,14
ChIJz15_eCLNvJURLdcnsgJfwWU,5,15
ChIJz15_eCLNvJURLdcnsgJfwWU,5,16
ChIJz15_eCLNvJURLdcnsgJfwWU,5,17
ChIJz15_eCLNvJURLdcnsgJfwWU,5,18
ChIJz15_eCLNvJURLdcnsgJfwWU,5,19
ChIJxUbkdyLNvJURFslEjDcCQ8E,1,9
ChIJxUbkdyLNvJURFslEjDcCQ8E,1,10
ChIJxUbkdyLNvJURFslEjDcCQ8E,1,11
ChIJxUbkdyLNvJURFslEjDcCQ8E,1,12
ChIJxUbkdyLNvJURFslEjDcCQ8E,1,13
ChIJxUbkdyLNvJURFslEjDcCQ8E,1,14
ChIJxUbkdyLNvJURFslEjDcCQ8E,1,15
ChIJxUbkdyLNvJURFslEjDcCQ8E,1,16
ChIJxUbkdyLNvJURFslEjDcCQ8E,1,17
ChIJxUbkdyLNvJURFslEjDcCQ8E,1,18
ChIJxUbkdyLNvJURFslEjDcCQ8E,1,19
ChIJxUbkdyLNvJURFslEjDcCQ8E,2,9
ChIJxUbkdyLNvJURFslEjDcCQ8E,2,10
ChIJxUbkdyLNvJURFslEjDcCQ8E,2,11
