place_id,type
ChIJt8_zlCHNvJURYFJXHZBKBYw,"['locality', 'political']"
ChIJz15_eCLNvJURLdcnsgJfwWU,"['point_of_interest', 'health', 'establishment']"
ChIJxUbkdyLNvJURFslEjDcCQ8E,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
ChIJ6YX4dyLNvJURV_IsJlUG0h8,"['real_estate_agency', 'point_of_interest', 'establishment']"
ChIJc0zreSLNvJURgsZScrcu5CE,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
ChIJDc1XYiLNvJURuns3z79s1hg,"['point_of_interest', 'establishment']"
ChIJEbIyfCLNvJURMnmn903n6J0,"['point_of_interest', 'establishment']"
ChIJJ94NVDM1o5URLakkWqdigR8,"['electronics_store', 'store', 'point_of_interest', 'establishment']"
ChIJ-Q1GdiLNvJURTXH2b59x9kM,"['point_of_interest', 'establishment']"
ChIJaYpxoBjNvJURv1s4OpXEEWM,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
ChIJcbRGZyLNvJURLGpyoayLQhY,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
ChIJLa_liSLNvJURRQnG9l5SUyo,"['museum', 'point_of_interest', 'establishment']"
ChIJYcsoEyLNvJURRL1Oig46kt0,"['home_goods_store', 'store', 'point_of_interest', 'establishment']"
ChIJnz_xghjNvJURzm-uASa2kfY,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
ChIJjythfyLNvJURdr2PYLMZBI0,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
ChIJZZyTjRjNvJURuHl02bjYrG0,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
ChIJozFj8yHNvJURtkZIJouVl1o,"['point_of_interest', 'health', 'establishment']"
ChIJFc7p3_vMvJURn71otGzmavk,"['sublocality_level_1', 'sublocality', 'political']"
ChIJNyMTRn_KvJUR6BBX-Xe6j9k,"['finance', 'point_of_interest', 'establishment']"
ChIJzcUkoRjNvJUR5KGK2ZM1Jls,"['point_of_interest', 'establishment']"
ChIJdR5iZyLNvJURK_lkOPl9kuo,"['health', 'point_of_interest', 'establishment']"
ChIJ9-tNpxjNvJURsllLz9QV9Zo,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
ChIJCwNtCiLNvJUR-euC4KB0Gvg,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
ChIJQ-vLXSLNvJUR6Lo_AcAX-Cc,"['health', 'point_of_interest', 'establishment']"
ChIJvUUx9SLNvJURVYtqB-5pc0I,"['book_store', 'store', 'point_of_interest', 'establishment']"
