place_id,day,percentage,hour,period
ChIJeU08DCLNvJURgSGHtpvUGaE,0,9,4,am
ChIJeU08DCLNvJURgSGHtpvUGaE,0,13,5,am
ChIJeU08DCLNvJURgSGHtpvUGaE,0,9,6,am
ChIJeU08DCLNvJURgSGHtpvUGaE,0,3,7,am
ChIJeU08DCLNvJURgSGHtpvUGaE,0,0,8,am
ChIJeU08DCLNvJURgSGHtpvUGaE,0,3,9,am
ChIJeU08DCLNvJURgSGHtpvUGaE,0,9,10,am
ChIJeU08DCLNvJURgSGHtpvUGaE,0,19,11,am
ChIJeU08DCLNvJURgSGHtpvUGaE,0,19,12,pm
ChIJeU08DCLNvJURgSGHtpvUGaE,0,25,1,pm
ChIJeU08DCLNvJURgSGHtpvUGaE,0,15,2,pm
ChIJeU08DCLNvJURgSGHtpvUGaE,0,25,3,pm
ChIJeU08DCLNvJURgSGHtpvUGaE,0,35,4,pm
ChIJeU08DCLNvJURgSGHtpvUGaE,0,52,5,pm
ChIJeU08DCLNvJURgSGHtpvUGaE,0,43,6,pm
ChIJeU08DCLNvJURgSGHtpvUGaE,0,29,7,pm
ChIJeU08DCLNvJURgSGHtpvUGaE,0,17,8,pm
ChIJeU08DCLNvJURgSGHtpvUGaE,0,13,9,pm
ChIJeU08DCLNvJURgSGHtpvUGaE,0,7,10,pm
ChIJeU08DCLNvJURgSGHtpvUGaE,0,9,11,pm
ChIJeU08DCLNvJURgSGHtpvUGaE,0,7,12,am
ChIJeU08DCLNvJURgSGHtpvUGaE,0,9,1,am
ChIJeU08DCLNvJURgSGHtpvUGaE,0,11,2,am
ChIJeU08DCLNvJURgSGHtpvUGaE,0,9,3,am
ChIJeU08DCLNvJURgSGHtpvUGaE,1,15,4,am
ChIJeU08DCLNvJURgSGHtpvUGaE,1,13,5,am
ChIJeU08DCLNvJURgSGHtpvUGaE,1,21,6,am
ChIJeU08DCLNvJURgSGHtpvUGaE,1,31,7,am
ChIJeU08DCLNvJURgSGHtpvUGaE,1,43,8,am
ChIJeU08DCLNvJURgSGHtpvUGaE,1,47,9,am
