place_id,day,percentage,hour,period
ChIJz15_eCLNvJURLdcnsgJfwWU,1,0,6,am
ChIJz15_eCLNvJURLdcnsgJfwWU,1,0,7,am
ChIJz15_eCLNvJURLdcnsgJfwWU,1,0,8,am
ChIJz15_eCLNvJURLdcnsgJfwWU,1,44,9,am
ChIJz15_eCLNvJURLdcnsgJfwWU,1,57,10,am
ChIJz15_eCLNvJURLdcnsgJfwWU,1,64,11,am
ChIJz15_eCLNvJURLdcnsgJfwWU,1,64,12,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,1,66,1,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,1,71,2,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,1,79,3,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,1,84,4,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,1,81,5,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,1,63,6,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,1,37,7,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,1,0,8,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,1,0,9,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,1,0,10,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,1,0,11,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,2,0,6,am
ChIJz15_eCLNvJURLdcnsgJfwWU,2,0,7,am
ChIJz15_eCLNvJURLdcnsgJfwWU,2,0,8,am
ChIJz15_eCLNvJURLdcnsgJfwWU,2,44,9,am
ChIJz15_eCLNvJURLdcnsgJfwWU,2,58,10,am
ChIJz15_eCLNvJURLdcnsgJfwWU,2,59,11,am
ChIJz15_eCLNvJURLdcnsgJfwWU,2,53,12,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,2,55,1,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,2,72,2,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,2,89,3,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,2,98,4,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,2,88,5,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,2,64,6,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,2,36,7,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,2,0,8,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,2,0,9,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,2,0,10,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,2,0,11,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,3,0,6,am
ChIJz15_eCLNvJURLdcnsgJfwWU,3,0,7,am
ChIJz15_eCLNvJURLdcnsgJfwWU,3,0,8,am
ChIJz15_eCLNvJURLdcnsgJfwWU,3,33,9,am
ChIJz15_eCLNvJURLdcnsgJfwWU,3,44,10,am
ChIJz15_eCLNvJURLdcnsgJfwWU,3,53,11,am
ChIJz15_eCLNvJURLdcnsgJfwWU,3,65,12,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,3,81,1,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,3,93,2,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,3,100,3,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,3,93,4,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,3,78,5,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,3,58,6,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,3,37,7,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,3,0,8,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,3,0,9,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,3,0,10,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,3,0,11,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,4,0,6,am
ChIJz15_eCLNvJURLdcnsgJfwWU,4,0,7,am
ChIJz15_eCLNvJURLdcnsgJfwWU,4,0,8,am
ChIJz15_eCLNvJURLdcnsgJfwWU,4,46,9,am
ChIJz15_eCLNvJURLdcnsgJfwWU,4,57,10,am
ChIJz15_eCLNvJURLdcnsgJfwWU,4,54,11,am
ChIJz15_eCLNvJURLdcnsgJfwWU,4,49,12,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,4,47,1,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,4,54,2,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,4,65,3,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,4,76,4,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,4,80,5,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,4,66,6,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,4,37,7,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,4,0,8,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,4,0,9,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,4,0,10,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,4,0,11,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,5,0,6,am
ChIJz15_eCLNvJURLdcnsgJfwWU,5,0,7,am
ChIJz15_eCLNvJURLdcnsgJfwWU,5,0,8,am
ChIJz15_eCLNvJURLdcnsgJfwWU,5,60,10,am
ChIJz15_eCLNvJURLdcnsgJfwWU,5,68,11,am
ChIJz15_eCLNvJURLdcnsgJfwWU,5,67,12,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,5,68,1,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,5,73,2,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,5,77,3,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,5,74,4,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,5,63,5,pm
ChIJz15_eCLNvJURLdcnsgJfwWU,5,46,6,pm
